,locality,price,flat_type,area,url,image,lat,lon
15464,"Internacionální, Praha - Suchdol",23900,2+kk,52,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025946-nabidka-pronajem-bytu-internacionalni-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025946/1779380803-hhbevvtcmm-kuchy-c5-88.png,50.1334851,14.3778253
15465,"U Michelského mlýna, Praha - Michle",40449,atypické,40,https://www.bezrealitky.cz/nemovitosti-byty-domy/840994-nabidka-pronajem-bytu-u-michelskeho-mlyna-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/840k/840994/flatio89ddid900e4e7xbrowq.jpg,50.0535658,14.4515577
15466,"Dukelských hrdinů, Rakovník - Rakovník, Středočeský kraj",16000,2+1,56,https://www.bezrealitky.cz/nemovitosti-byty-domy/1022995-nabidka-pronajem-bytu-dukelskych-hrdinu-rakovnik,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1022k/1022995/1778943601-gkuyhjuxzc-ob-c3-bdv-c3-a1k-5.jpg,50.1072429,13.716737
15467,"Kakosova, Praha - Řeporyje",24500,2+kk,53,https://www.bezrealitky.cz/nemovitosti-byty-domy/284819-nabidka-pronajem-bytu-kakosova-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/284k/284819/1691771877-ixzctyewlz-php6bkuy5.jpg,50.0388338,14.3231874
15468,"Krakovská, Praha - Nové Město",26000,1+kk,36,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025939-nabidka-pronajem-bytu-krakovska-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025939/1779376626-rsdmreqogj-1.jpg,50.0793351,14.4282491
15469,"Českolipská, Praha - Střížkov",25000,3+1,55,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025932-nabidka-pronajem-bytu-ceskolipska-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025932/1779370354-wshjircuxk-28d64fac-96e8-4eb9-bedb-1e54b17d66be.png,50.124454,14.496886
15470,"Oblouková, Praha - Vršovice",30000,2+1,66,https://www.bezrealitky.cz/nemovitosti-byty-domy/831454-nabidka-pronajem-bytu-obloukova-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/831k/831454/1710679559-ajpnnlpqzo-whatsapp-image-2024-02-25-at-22-27-44.jpg,50.065559,14.4570078
15471,"Tylova, České Budějovice - České Budějovice 7, Jihočeský kraj",11100,1+1,33,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025887-nabidka-pronajem-bytu-tylova-ceske-budejovice,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025887/1779351580-odbrdmcwaf-kuchyn-c4-9b.png,48.9669757,14.4767374
15472,"U Jezerky, Praha - Nusle",40000,3+kk,87,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025925-nabidka-pronajem-bytu-u-jezerky-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025925/1779366460-fgdtgcxhne-img-9035.jpg,50.0568494,14.44471
15473,"Dvořákova, Plzeň - Plzeň, Plzeňský kraj",15900,2+kk,47,https://www.bezrealitky.cz/nemovitosti-byty-domy/694008-nabidka-pronajem-bytu-dvorakova-plzen,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/694k/694008/1637947113-gxppdnmfnv.jpg,49.72612,13.37209
15474,"U reálky, Olomouc-město, Olomoucký kraj",17000,2+kk,47,https://www.bezrealitky.cz/nemovitosti-byty-domy/724397-nabidka-pronajem-bytu-u-realky-olomouc,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/724k/724397/1779265833-zqnqjymphq-img-4426.jpg,49.5947,17.2629
15475,"Strančická, Praha - Strašnice",22000,2+kk,48,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025912-nabidka-pronajem-bytu-strancicka-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025912/1779361046-olgjomaumw-img-0276.jpg,50.065808,14.4962603
15476,"Svitavská, Brno - Husovice, Jihomoravský kraj",19500,2+1,48,https://www.bezrealitky.cz/nemovitosti-byty-domy/1006850-nabidka-pronajem-bytu-svitavska-brno,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1006k/1006850/1774803699-weiqavsvwo-ground-18m2.png,49.2084156,16.6260645
15477,"Poděbradská, Praha - Vysočany",20500,1+kk,35,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025909-nabidka-pronajem-bytu-podebradska-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025909/1779360134-vawmffpacz-kuchyn121.jpg,50.1025008,14.5074821
15478,"Armádní, Milovice - Benátecká Vrutice, Středočeský kraj",16000,2+kk,62,https://www.bezrealitky.cz/nemovitosti-byty-domy/1023802-nabidka-pronajem-bytu-armadni-milovice,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1023k/1023802/1778923049-hyssjzquvk-fullkitch.jpg,50.2313883,14.857031
15479,"U bazénu, Praha - Písnice",18490,2+kk,46,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025904-nabidka-pronajem-bytu-u-bazenu-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025904/1025904-1779358823-foto-1.jpg,50.0014458599,14.4642491986
15480,"Jankovcova, Praha - Holešovice",24000,2+kk,41,https://www.bezrealitky.cz/nemovitosti-byty-domy/788005-nabidka-pronajem-bytu-jankovcova-hlavni-mesto-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/788k/788005/1689802938-oobraaoaqm-phph2b8fb.jpg,50.1096029,14.4455124
15481,"Masarykovo náměstí, Šlapanice - Šlapanice u Brna, Jihomoravský kraj",16000,1+kk,65,https://www.bezrealitky.cz/nemovitosti-byty-domy/615900-nabidka-pronajem-bytu-masarykovo-namesti-slapanice,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/615k/615900/1593790552-msbvdgmfgd.jpg,49.168931,16.727059
15482,"Názovská, Praha - Strašnice",26490,2+1,59,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025901-nabidka-pronajem-bytu-nazovska-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025901/1025901-1779357554-foto-1.jpg,50.0785755271,14.4868356591
15483,"Kurta Konráda, Praha - Libeň",21000,1+kk,36,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025899-nabidka-pronajem-bytu-kurta-konrada-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025899/1779356867-hsjfbetfad-2021-02-26-14950-hdr-edit.jpg,50.1037493,14.4889169
15484,"Chýňská, Červený Újezd - Červený Újezd, Středočeský kraj",19500,1+kk,47,https://www.bezrealitky.cz/nemovitosti-byty-domy/1024077-nabidka-pronajem-bytu-chynska-cerveny-ujezd,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1024k/1024077/1778920368-rjasbwvjdq-image6.jpg,50.0706923,14.1751164
15485,"Štítného, Praha - Žižkov",28000,2+kk,56,https://www.bezrealitky.cz/nemovitosti-byty-domy/224618-nabidka-pronajem-bytu-stitneho-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/224k/224618/1428677733-rdqim-bazen-opalovacka.jpg,50.0851919,14.4500346
15486,"Budapešťská, Praha - Hostivař",24000,2+kk,66,https://www.bezrealitky.cz/nemovitosti-byty-domy/570139-nabidka-pronajem-bytu-budapestska-praha-hostivar,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/570k/570139/1625849352-chcyprlrtr.jpg,50.0438401,14.5166021
15487,"Křepelčí, Brno - Žebětín, Jihomoravský kraj",13900,1+kk,41,https://www.bezrealitky.cz/nemovitosti-byty-domy/878878-nabidka-pronajem-bytu-krepelci-brno,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/878k/878878/1737566457-dhldbrutie-ob1.jpg,49.2174473,16.4972532
15488,"Kladenská, Praha - Vokovice",18000,1+kk,30,https://www.bezrealitky.cz/nemovitosti-byty-domy/1022170-nabidka-pronajem-bytu-kladenska-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1022k/1022170/1778486900-vhbtsozibi-img-2792.jpg,50.0969308,14.3628706
15489,"U Včely, Praha - Zbraslav",29500,3+kk,95,https://www.bezrealitky.cz/nemovitosti-byty-domy/456117-nabidka-pronajem-bytu-u-vcely-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/456k/456117/1540296065-ikxdzvdpav.jpg,49.9697269,14.3870838
15490,"Olgy Havlové, Praha - Žižkov",25000,1+kk,40,https://www.bezrealitky.cz/nemovitosti-byty-domy/826159-nabidka-pronajem-bytu-olgy-havlove-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/826k/826159/1708100951-fbjhmspeqa-phpvs2fpv.jpg,50.0877645,14.4778401
15491,"Poděbradská, Praha - Hloubětín",20990,1+kk,42,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025882-nabidka-pronajem-bytu-podebradska-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025882/1025882-1779353415-foto-1.jpg,50.1035387719,14.5247510995
15492,"Primátorská, Praha - Libeň",19500,2+1,50,https://www.bezrealitky.cz/nemovitosti-byty-domy/1009738-nabidka-pronajem-bytu-primatorska-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1009k/1009738/1779346793-yyzcuozpwl-1.jpg,50.1127543,14.4725018
15493,"Březinova, Praha - Karlín",30000,2+kk,55,https://www.bezrealitky.cz/nemovitosti-byty-domy/950071-nabidka-pronajem-bytu-brezinova-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/950k/950071/1759072227-sxzprvivxe-img-7135.png,50.0925268,14.45686
15494,"Michaila Jurjeviče Lermontova, Praha - Bubeneč",18000,2+kk,44,https://www.bezrealitky.cz/nemovitosti-byty-domy/161548-nabidka-pronajem-bytu-michaila-jurjevice-lermontova,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/161k/161548/1776676190-zqxelezkzj-00-dumb.png,50.1106686,14.3956037
15495,"Za černým mostem, Praha - Kyje",17000,1+kk,30,https://www.bezrealitky.cz/nemovitosti-byty-domy/608892-nabidka-pronajem-bytu-za-cernym-mostem-hlavni-mesto-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/608k/608892/1590254103-amhedzqgjx.jpg,50.1089546,14.5569481
15496,"Arnošta Staňka, Praha - Hostivař",21000,2+kk,45,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025876-nabidka-pronajem-bytu-arnosta-stanka-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025876/1779345862-jkvzlcsufk-kuchyn.jpg,50.0571607,14.5425911
15497,"Nová, České Budějovice 3, Jihočeský kraj",12000,1+kk,44,https://www.bezrealitky.cz/nemovitosti-byty-domy/180418-nabidka-pronajem-bytu-nova,https://api.bezrealitky.cz/media/cache/record_main_nowm/data/images/advert/180k/180418/d2e77b181f1eae34b56ad68920f6bc0b.jpg,48.9772474,14.4846826
15498,"Loosova, Brno - Lesná, Jihomoravský kraj",23500,3+1,67,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025864-nabidka-pronajem-bytu-loosova-brno,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025864/1779339514-wxmjhafker-01.jpg,49.2321646,16.61589
15499,"Odkolkova, Praha - Vysočany",28500,2+kk,58,https://www.bezrealitky.cz/nemovitosti-byty-domy/834790-nabidka-pronajem-bytu-odkolkova-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/834k/834790/1757420435-trysmaxzgj-dsc00036.jpg,50.1130653,14.5039918
15500,"Krejčíkova, Plzeň - Plzeň, Plzeňský kraj",20000,3+1,79,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025550-nabidka-pronajem-bytu-krejcikova-plzen,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025550/1779311636-sisqxdreml-img-6322.jpg,49.7316375,13.402049
15501,"Mlýnská, Brno - Trnitá, Jihomoravský kraj",12500,1+kk,25,https://www.bezrealitky.cz/nemovitosti-byty-domy/579637-nabidka-pronajem-bytu-mlynska-brno-stred,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/579k/579637/1571500848-gszyycihol.jpg,49.189321,16.623403
15502,"třída Osvobození, Příbram - Březové Hory, Středočeský kraj",14900,3+1,81,https://www.bezrealitky.cz/nemovitosti-byty-domy/1008625-nabidka-pronajem-bytu-trida-osvobozeni-pribram,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1008k/1008625/1759422644-cmzuvfboym-sn-c3-admek-obrazovky-2025-10-02-183013.jpg,49.6800596,14.0004621
15503,"Mezouň - Mezouň, Středočeský kraj",25000,2+1,60,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025547-nabidka-pronajem-bytu-mezoun,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025547/1779308174-sytfkmznoe-ob-c3-bdvac-c3-ad-pokoj.jpg,50.0038645,14.2160085
15504,"Kettnerova, Praha - Stodůlky",17000,2+kk,45,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025544-nabidka-pronajem-bytu-kettnerova-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025544/1779308312-nwljyhjleo-img-0630.jpg,50.0464039,14.3216577
15505,"Slivenecká, Praha - Hlubočepy",18500,2+1,50,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025526-nabidka-pronajem-bytu-slivenecka-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025526/1728032074-mrsglqheav-prizemi-kuchyn.jpg,50.0403373,14.3911274
15506,"Havránkova, Praha - Kobylisy",16000,1+kk,33,https://www.bezrealitky.cz/nemovitosti-byty-domy/721680-nabidka-pronajem-bytu-havrankova-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/721k/721680/1654710915-ohbzipwzlh-phpt4yasa.jpg,50.1356,14.47141
15507,"U Elektrárny, Vrané nad Vltavou - Vrané nad Vltavou, Středočeský kraj",22000,2+kk,58,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025521-nabidka-pronajem-bytu-u-elektrarny-vrane-nad-vltavou,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025521/1779294939-mjtftwadjm-img-8581.jpg,49.9402056,14.3818761
15508,"Cimburkova, Praha - Žižkov",51870,atypické,28,https://www.bezrealitky.cz/nemovitosti-byty-domy/992771-nabidka-pronajem-bytu-cimburkova-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/992k/992771/flatioabbo49hiqqu09akruqe.jpg,50.0851276,14.449145
15509,"K Horoměřicům, Praha - Suchdol",21000,3+1,67,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025520-nabidka-pronajem-bytu-k-horomericum-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025520/1779291039-dvkslomcrk-signal-2026-05-20-171333-012.jpg,50.1321295,14.369695
15510,"Vrbenská, České Budějovice - České Budějovice 4, Jihočeský kraj",25000,3+kk,82,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025517-nabidka-pronajem-bytu-vrbenska-ceske-budejovice,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025517/1779290628-ohrbeodous-img-5043.jpg,48.976296,14.5017359
15511,"Ostromečská, Praha - Žižkov",32490,3+kk,76,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025510-nabidka-pronajem-bytu-ostromecska-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025510/1025510-1780556814-foto-1.jpg,50.0871874723,14.4605641149
15512,"Pod Harfou, Praha - Vysočany",22000,2+kk,50,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025509-nabidka-pronajem-bytu-pod-harfou-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025509/1779282881-hbupefbsvq-img-2401.jpg,50.1034086,14.5108537
15513,"Pobřežní, Praha - Karlín",7000,2+1,52,https://www.bezrealitky.cz/nemovitosti-byty-domy/842242-nabidka-pronajem-bytu-pobrezni-hlavni-mesto-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/842k/842242/1716227631-trjgakwcwo-pob-c5-99e-c5-ben-c3-ad-48.jpg,50.0939531,14.4484443
15514,"Mozartova, Praha - Smíchov",19000,1+kk,22,https://www.bezrealitky.cz/nemovitosti-byty-domy/816152-nabidka-pronajem-bytu-mozartova-hlavni-mesto-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/816k/816152/1701915007-ugngbgiijf-phptbnffe.jpg,50.071764,14.3968968
15515,"Táboritská, Praha - Žižkov",17900,1+1,45,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025502-nabidka-pronajem-bytu-taboritska-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025502/1779279576-ftulyyfuuk-d-c5-afm.jpg,50.0824369,14.4586294
15516,"Mládeže, Praha - Břevnov",19900,1+1,37,https://www.bezrealitky.cz/nemovitosti-byty-domy/1025501-nabidka-pronajem-bytu-mladeze-praha,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/1025k/1025501/1779279565-knylrkaadp-03.jpg,50.085202,14.3735614
15517,"Seifertova, Litoměřice - Litoměřice, Ústecký kraj",15000,3+1,64,https://www.bezrealitky.cz/nemovitosti-byty-domy/935920-nabidka-pronajem-bytu-seifertova-litomerice,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/935k/935920/1756126381-ikulmmixuk-img-7353.jpg,50.5419135,14.1209734
15518,"Na Potocích, Radnice - Radnice u Rokycan, Plzeňský kraj",10500,3+kk,98,https://www.bezrealitky.cz/nemovitosti-byty-domy/880462-nabidka-pronajem-bytu-na-potocich-radnice,https://api.bezrealitky.cz/media/cache/record_main/data/images/advert/880k/880462/1738755105-swpezjxijh-de60ce95-89cc-4565-b514-38c48ab7aa24.jpg,49.8558529,13.6058289
